,Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
1364,1364,AMD Ryzen 7 5700G,CPU,2021-04-13,7.0,65.0,,,3800.0,TSMC,AMD
1365,1365,Intel Xeon Silver 4309Y,CPU,2021-04-06,10.0,105.0,,,2800.0,Intel,Intel
1366,1366,Intel Core i7-4550U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1500.0,Intel,Intel
1367,1367,AMD Opteron 144,CPU,2003-09-09,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD
1368,1368,Intel Core i5-2415M,CPU,2011-09-01,32.0,35.0,149.0,624.0,2300.0,Intel,Intel
1369,1369,Intel Core i3-8100T,CPU,2018-04-02,14.0,35.0,,,3100.0,Intel,Intel
1370,1370,AMD Mobile Athlon 64 2800+,CPU,2004-08-01,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD
1371,1371,Intel Pentium III 1333,CPU,2001-12-01,130.0,30.0,80.0,44.0,1333.0,Intel,Intel
1372,1372,Intel Xeon W3680,CPU,2010-03-16,32.0,130.0,239.0,1170.0,3333.0,Intel,Intel
1373,1373,Intel Core i5-11600K,CPU,2021-03-16,14.0,125.0,,,3900.0,Intel,Intel
1374,1374,AMD EPYC 7543,CPU,2021-03-15,7.0,225.0,,,2800.0,TSMC,AMD
1375,1375,AMD Phenom II X4 960T BE,CPU,2010-06-01,45.0,95.0,346.0,904.0,3000.0,Unknown,AMD
1376,1376,Intel Core i9-11900KF,CPU,2021-03-16,14.0,125.0,,,3500.0,Intel,Intel
1377,1377,AMD Ryzen 7 5800H,CPU,2021-01-12,7.0,54.0,156.0,9800.0,3200.0,TSMC,AMD
1378,1378,AMD Opteron X2 280,CPU,2005-09-26,90.0,95.0,,233.0,2400.0,Unknown,AMD
1379,1379,AMD Athlon 1133,CPU,2000-10-31,180.0,63.0,120.0,37.0,1133.0,Unknown,AMD
1380,1380,Intel Pentium 4 HT 520,CPU,2004-06-21,90.0,84.0,109.0,125.0,2800.0,Intel,Intel
1381,1381,AMD FX-8370,CPU,2014-09-02,32.0,125.0,315.0,1200.0,4000.0,Unknown,AMD
1382,1382,AMD Ryzen 7 3700U,CPU,2019-01-06,12.0,15.0,210.0,4940.0,2300.0,GF,AMD
1383,1383,Intel Core i7-6800K,CPU,2016-05-31,14.0,140.0,,,3400.0,Intel,Intel
1384,1384,Intel Core i5-7400T,CPU,2017-01-03,14.0,35.0,,,2400.0,Intel,Intel
1385,1385,AMD Phenom II X2 545,CPU,2009-06-01,45.0,80.0,258.0,758.0,3000.0,Unknown,AMD
1386,1386,Intel Core 2 Quad Q6700,CPU,2007-04-20,65.0,95.0,143.0,582.0,2666.0,Intel,Intel
1387,1387,Intel Core i7-4870HQ,CPU,2014-07-01,22.0,47.0,264.0,1400.0,2500.0,Intel,Intel
1388,1388,AMD Athlon 600,CPU,2000-06-05,180.0,38.0,120.0,37.0,600.0,Unknown,AMD
1389,1389,AMD Athlon II X2 235e,CPU,2009-10-20,45.0,45.0,117.0,410.0,2700.0,Unknown,AMD
1390,1390,Intel Pentium M 735,CPU,2004-05-10,90.0,21.0,84.0,140.0,1700.0,Intel,Intel
1391,1391,AMD Athlon 64 X2 5800+,CPU,2008-04-01,65.0,89.0,126.0,154.0,3000.0,Unknown,AMD
1392,1392,AMD Athlon XP 2000+,CPU,2003-09-01,130.0,60.0,,63.0,1667.0,Unknown,AMD
1393,1393,Intel Core i5-680,CPU,2010-04-19,32.0,73.0,81.0,382.0,3600.0,Intel,Intel
1394,1394,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel
1395,1395,Intel Core 2 Quad Q9650,CPU,2008-08-10,45.0,95.0,107.0,820.0,3000.0,Intel,Intel
1396,1396,Intel Core i5-460M,CPU,2010-09-26,32.0,35.0,81.0,382.0,2534.0,Intel,Intel
1397,1397,Intel Xeon E3-1260L,CPU,2011-04-03,32.0,45.0,216.0,1160.0,2400.0,Intel,Intel
1398,1398,Intel Pentium E6700,CPU,2010-05-30,45.0,65.0,82.0,228.0,3200.0,Intel,Intel
1399,1399,AMD Athlon 64 X2 4400+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2200.0,Unknown,AMD
1400,1400,Intel Xeon Phi 7210,CPU,2016-06-20,14.0,215.0,,8000.0,1300.0,Intel,Intel
1401,1401,Intel Pentium G645,CPU,2012-09-02,32.0,65.0,131.0,504.0,2900.0,Intel,Intel
1402,1402,Intel Core 2 Solo ULV U2200,CPU,2007-09-01,65.0,5.0,143.0,291.0,1200.0,Intel,Intel
1403,1403,Intel Core i3-4330,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3500.0,Intel,Intel
1404,1404,AMD Phenom II 42 TWKR Black Edition,CPU,2009-06-01,45.0,125.0,258.0,758.0,2000.0,Unknown,AMD
1405,1405,AMD Phenom II X4 925,CPU,2009-05-11,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD
1406,1406,AMD Ryzen 7 PRO 2700,CPU,2018-09-19,12.0,65.0,192.0,4800.0,3200.0,GF,AMD
1407,1407,Intel Celeron N2910,CPU,2013-09-11,22.0,7.0,,,1600.0,Intel,Intel
1408,1408,AMD EPYC 7F32,CPU,2020-04-14,7.0,180.0,74.0,3800.0,3700.0,TSMC,AMD
1409,1409,Intel Core 2 Extreme QX9775,CPU,2008-03-24,45.0,150.0,107.0,820.0,3200.0,Intel,Intel
1410,1410,AMD Athlon 64 3500+ (F3),CPU,2007-02-20,90.0,59.0,1.0,154.0,2200.0,Unknown,AMD
1411,1411,Intel Xeon 7140N,CPU,2006-08-27,65.0,150.0,435.0,1328.0,3333.0,Intel,Intel
1412,1412,Intel Core 2 Duo E6700,CPU,2006-07-27,65.0,65.0,143.0,291.0,2667.0,Intel,Intel
1413,1413,Intel Pentium 4 HT EE 3.20,CPU,2003-11-03,130.0,110.0,237.0,178.0,3200.0,Intel,Intel
1414,1414,Intel Pentium E6800,CPU,2010-08-29,45.0,65.0,82.0,228.0,3333.0,Intel,Intel
1415,1415,Intel Xeon Platinum 8180,CPU,2017-07-11,14.0,205.0,,8000.0,2500.0,Intel,Intel
1416,1416,AMD Athlon II X2 265,CPU,2010-09-21,45.0,65.0,117.0,410.0,3300.0,Unknown,AMD
1417,1417,AMD Phenom X4 9500,CPU,2007-11-19,65.0,95.0,285.0,450.0,2200.0,Unknown,AMD
1418,1418,AMD Turion 64 MT-28,CPU,2005-06-22,90.0,22.0,125.0,114.0,1600.0,Unknown,AMD
1419,1419,Intel Xeon W3550,CPU,2009-08-09,45.0,130.0,263.0,731.0,3066.0,Intel,Intel
1420,1420,Intel Celeron 725C,CPU,2011-07-01,32.0,17.0,131.0,504.0,1300.0,Intel,Intel
1421,1421,AMD EPYC 7251,CPU,2017-06-29,14.0,120.0,213.0,4800.0,2100.0,GF,AMD
1422,1422,AMD Ryzen 9 4900HS,CPU,2020-03-07,7.0,35.0,156.0,9800.0,3000.0,TSMC,AMD
1423,1423,AMD A10-4655M,CPU,2012-05-15,32.0,25.0,246.0,1178.0,2000.0,Unknown,AMD
1424,1424,Intel Atom Z510,CPU,2008-04-02,45.0,2.0,26.0,47.0,1100.0,Intel,Intel
1425,1425,AMD FX-4130,CPU,2013-01-30,32.0,125.0,315.0,1200.0,3800.0,Unknown,AMD
1426,1426,Intel Xeon E3-1265L v2,CPU,2012-05-14,22.0,45.0,160.0,1400.0,2500.0,Intel,Intel
1427,1427,Intel Celeron G1820TE,CPU,2013-12-01,22.0,54.0,177.0,1400.0,2200.0,Intel,Intel
1428,1428,Intel Pentium E5400,CPU,2009-01-18,45.0,65.0,82.0,228.0,2700.0,Intel,Intel
1429,1429,AMD Athlon XP 2500+ DTR,CPU,2003-02-10,130.0,68.0,101.0,63.0,1833.0,Unknown,AMD
1430,1430,AMD A10-5800K,CPU,2012-10-02,32.0,100.0,246.0,1178.0,3800.0,Unknown,AMD
1431,1431,Intel Xeon Gold 5317,CPU,2021-04-06,10.0,150.0,,,3000.0,Intel,Intel
1432,1432,AMD Athlon II X4 631,CPU,2011-08-17,32.0,100.0,228.0,1178.0,2600.0,Unknown,AMD
1433,1433,AMD Opteron 846,CPU,2004-12-01,90.0,85.0,,106.0,2000.0,Unknown,AMD
1434,1434,AMD Athlon 64 X2 3800+,CPU,2005-08-01,90.0,89.0,156.0,154.0,2000.0,Unknown,AMD
1435,1435,AMD Opteron 848,CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD
1436,1436,Intel Core i7-2670QM,CPU,2011-10-12,32.0,45.0,216.0,1160.0,2200.0,Intel,Intel
1437,1437,AMD Phenom II X6 1035T,CPU,2010-04-27,45.0,95.0,346.0,904.0,2600.0,Unknown,AMD
1438,1438,Intel Xeon Platinum 8354H,CPU,2021-04-06,14.0,205.0,,,3100.0,Intel,Intel
1439,1439,AMD Sempron 3400+,CPU,2005-08-01,90.0,62.0,84.0,63.0,2000.0,Unknown,AMD
1440,1440,AMD Athlon 64 3500+ EE,CPU,2007-02-20,90.0,35.0,183.0,154.0,2200.0,Unknown,AMD
1441,1441,AMD Ryzen 5 PRO 1600,CPU,2017-06-29,14.0,65.0,192.0,4800.0,3200.0,GF,AMD
1442,1442,AMD Athlon 64 3200+,CPU,2004-04-27,130.0,89.0,144.0,69.0,2000.0,Unknown,AMD
1443,1443,Intel Xeon Platinum 8280,CPU,2018-12-11,14.0,205.0,,8000.0,2700.0,Intel,Intel
1444,1444,Intel Xeon Gold 6346,CPU,2021-04-06,10.0,205.0,,,3100.0,Intel,Intel
1445,1445,Intel Pentium G4620,CPU,2017-01-03,14.0,51.0,,,3700.0,Intel,Intel
